ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
216,Helix Fossil,1d,GA,5,3,,0,0,,2,0,,0,0,,0,0
217,Dome Fossil,1d,GA,4,2,,3,1,,0,0,,0,0,,0,0
218,Old Amber,1d,GA,4,2,,10,0,,9,7,,0,0,,0,0
219,Erika,2d,GA,2,0,,1,0,,1,0,,0,0,,0,0
220,Misty,2d,GA,5,3,,1,0,,2,0,,0,0,,0,0
221,Blaine,2d,GA,3,1,,2,1,,0,0,,0,0,,0,0
222,Koga,2d,GA,3,1,,3,1,,0,0,,0,0,,0,0
223,Giovanni,2d,GA,3,1,,2,0,,1,0,,0,0,,0,0
224,Brock,2d,GA,3,1,,4,2,,1,0,,0,0,,0,0
225,Sabrina,2d,GA,3,1,,1,0,,1,0,,0,0,,0,0
226,Lt. Surge,2d,GA,0,0,,2,0,,6,4,,0,0,,0,0
227,Bulbasaur,1s,GA,2,0,,1,0,,1,0,,0,0,,1,0
228,Gloom,1s,GA,0,0,,0,0,,0,0,,0,0,,0,0
229,Pinsir,1s,GA,1,0,,2,1,,0,0,,0,0,,0,0
230,Charmander,1s,GA,1,0,,0,0,,1,0,,0,0,,1,0
231,Rapidash ,1s,GA,0,0,,0,0,,0,0,,0,0,,0,0
232,Squirtle,1s,GA,2,0,,2,1,,1,0,,0,0,,0,0
233,Gyarados,1s,GA,1,0,,1,0,,0,0,,0,0,,0,0
234,Lapras,1s,GA,2,0,,0,0,,0,0,,0,0,,0,0
235,Electrode,1s,GA,2,0,,2,1,,3,1,,0,0,,0,0
236,Alakazam,1s,GA,0,0,,1,0,,0,0,,0,0,,0,0
237,Slowpoke,1s,GA,1,0,,1,0,,0,0,,0,0,,0,0
238,Diglett,1s,GA,2,0,,0,0,,2,0,,0,0,,0,0
239,Cubone,1s,GA,1,0,,2,1,,0,0,,0,0,,0,0
240,Nidoqueen,1s,GA,2,0,,1,0,,0,0,,0,0,,0,0
241,Nidoking,1s,GA,3,1,,2,1,,0,0,,0,0,,0,0
242,Golbat,1s,GA,1,0,,0,0,,1,0,,0,0,,0,0
243,Weezing,1s,GA,1,0,,0,0,,1,0,,0,0,,0,0
244,Dragonite,1s,GA,2,0,,1,0,,0,0,,0,0,,0,0
245,Pidgeot,1s,GA,1,0,,0,0,,0,0,,0,0,,0,0
246,Meowth,1s,GA,2,0,,0,0,,2,0,,0,0,,0,0
247,Ditto,1s,GA,1,0,,0,0,,0,0,,0,0,,0,0
248,Eevee,1s,GA,1,0,,0,0,,0,0,,0,0,,1,0
249,Porygon,1s,GA,1,0,,1,0,,0,0,,0,0,,0,0
250,Snorlax,1s,GA,0,0,,1,0,,2,0,,0,0,,0,0
251,Venusaur ex,2s,GA,2,0,,0,0,,0,0,,0,0,,0,0
252,Exeggutor ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
253,Charizard ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
254,Arcanine ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
255,Moltres ex,2s,GA,1,0,,1,0,,0,0,,0,0,,0,0
256,Blastoise ex,2s,GA,0,0,,1,0,,0,0,,0,0,,0,0
257,Starmie ex,2s,GA,0,0,,1,0,,0,0,,1,0,,0,0
258,Articuno ex,2s,GA,1,0,,0,0,,0,0,,0,0,,0,0
259,Pikachu ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
260,Zapdos ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
261,Gengar ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
262,Mewtwo ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
263,Machamp ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
264,Marowak ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
265,Wigglytuff ex,2s,GA,0,0,,1,0,,0,0,,0,0,,0,0
266,Erika,2s,GA,1,0,,0,0,,0,0,,0,0,,0,0
267,Misty,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
268,Blaine,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
269,Koga,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
270,Giovanni,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
271,Brock,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
272,Sabrina,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
273,Lt. Surge,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
274,Moltres ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
275,Articuno ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
276,Zapdos ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
277,Gengar ex,2s,GA,1,0,,0,0,,0,0,,0,0,,0,0
278,Machamp ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
279,Wigglytuff ex,2s,GA,0,0,,0,0,,0,0,,0,0,,0,0
280,Charizard ex,3s,GA,1,0,,0,0,,0,0,,0,0,,0,0
281,Pikachu ex,3s,GA,0,0,,1,0,,1,0,,0,0,,0,0
282,Mewtwo ex,3s,GA,0,0,,0,0,,0,0,,0,0,,0,0
283,I think this is a secret mew for completing pokedex,,GA,0,0,,0,,,0,0,,0,0,,0,0
284,Charizard ex,1c,GA,1,0,,1,0,,0,0,,0,0,,0,0
285,Pikachu ex,1c,GA,0,0,,0,0,,0,0,,0,0,,0,0
286,Mewtwo ex,1c,GA,0,0,,0,0,,0,0,,0,0,,0,0
,,,,,,,,,,,,,,,,,
1,Exeggcute,1d,MI,4,2,,6,4,,0,0,,0,0,,0,0
2,Exeggutor,2d,MI,2,0,,6,4,,0,0,,0,0,,0,0
3,Celebi ex,4d,MI,1,0,,1,0,,0,0,,0,0,,0,0
4,Snivy,1d,MI,3,1,,6,4,,0,0,,0,0,,0,0
5,Servine,2d,MI,3,1,,2,1,,0,0,,0,0,,0,0
6,Serperior,3d,MI,2,0,,2,1,,0,0,,0,0,,0,0
7,Morelull,1d,MI,4,2,,4,2,,0,0,,0,0,,0,0
